iter	Passed	Remaining
824	47082	9987
825	47135	9929
826	47203	9874
827	47256	9816
828	47308	9758
829	47363	9700
830	47417	9643
831	47473	9585
832	47530	9528
833	47586	9471
834	47649	9415
835	47706	9358
836	47762	9301
837	47816	9243
838	47872	9186
839	47931	9129
840	47986	9072
841	48041	9014
842	48095	8957
843	48160	8901
844	48214	8844
845	48267	8786
846	48325	8729
847	48380	8672
848	48434	8614
849	48487	8556
850	48541	8499
851	48595	8441
852	48652	8384
853	48709	8327
854	48765	8270
855	48822	8213
856	48878	8155
857	48942	8100
858	48995	8042
859	49051	7985
860	49108	7928
861	49163	7870
862	49220	7813
863	49275	7756
864	49330	7698
865	49385	7641
866	49439	7584
867	49497	7527
868	49552	7469
869	49606	7412
870	49662	7355
871	49717	7298
872	49769	7240
873	49822	7182
874	49875	7125
875	49929	7067
876	49984	7010
877	50037	6952
878	50099	6896
879	50152	6838
880	50209	6782
881	50263	6724
882	50317	6667
883	50371	6609
884	50442	6554
885	50496	6497
886	50548	6439
887	50608	6383
888	50665	6326
889	50719	6268
890	50771	6211
891	50826	6153
892	50881	6096
893	50936	6039
894	50993	5982
895	51053	5925
896	51108	5868
897	51168	5812
898	51223	5754
899	51278	5697
900	51332	5640
901	51388	5583
902	51444	5526
903	51499	5468
904	51552	5411
905	51610	5354
906	51669	5297
907	51724	5240
908	51782	5183
909	51838	5126
910	51900	5070
911	51922	5010
912	51977	4952
913	52035	4896
914	52088	4838
915	52143	4781
916	52197	4724
917	52259	4668
918	52315	4611
919	52370	4553
920	52425	4496
921	52481	4439
922	52537	4382
923	52592	4325
924	52648	4268
925	52703	4211
926	52758	4154
927	52813	4097
928	52868	4040
929	52923	3983
930	52984	3926
931	53046	3870
932	53098	3813
933	53153	3756
934	53209	3699
935	53264	3642
936	53319	3585
937	53375	3528
938	53428	3470
939	53480	3413
940	53540	3356
941	53592	3299
942	53649	3242
943	53701	3185
944	53758	3128
945	53812	3071
946	53869	3014
947	53923	2957
948	53977	2900
949	54034	2843
950	54089	2786
951	54145	2730
952	54213	2673
953	54271	2616
954	54327	2559
955	54382	2502
956	54438	2446
957	54495	2389
958	54552	2332
959	54611	2275
960	54672	2218
961	54728	2161
962	54762	2104
963	54815	2047
964	54870	1990
965	54930	1933
966	54991	1876
967	55049	1819
968	55105	1762
969	55161	1706
970	55215	1649
971	55269	1592
972	55325	1535
973	55379	1478
974	55433	1421
975	55488	1364
976	55542	1307
977	55599	1250
978	55654	1193
979	55709	1136
980	55764	1080
981	55821	1023
982	55843	965
983	55905	909
984	55960	852
985	56017	795
986	56073	738
987	56129	681
988	56189	624
989	56243	568
990	56294	511
991	56349	454
992	56405	397
993	56464	340
994	56519	284
995	56573	227
996	56629	170
997	56685	113
998	56743	56
999	56799	0
